System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		26590	33452	1382000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		27530	16621	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		4797	5603	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		208026	169527	504000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		1083	2729	421000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		12593	51760	102000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		270989	250649	298000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		223886	441368	47000
Col 359 Sector QX-R c5-13	Pranav Antal	EXPLOITED		47672	127263	0
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		169838	246600	0
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		295190	395192	1210000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		3430	23226	406000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		115302	138045	1661000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		49532	81257	764000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		598	18199	355000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		2891	9735	69000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		15162	49645	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		4687	16679	475000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		4247	29165	139000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		130	5761	0
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		157172	134820	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		76	3380	493000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1142	14347	63000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		69	5435	18000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		4182	57366	417000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		16452	29305	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		6220	64905	475000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		55390	216641	45000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		53504	61409	49000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		148445	126923	207000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		5460	8979	20000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		309	31714	74000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5891	54622	158000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		0	13656	63000
Col 359 Sector DP-L b10-3	Aisling Duval	EXPLOITED		629	28714	0
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		83273	108073	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		3651	12340	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		3457	8643	16000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		9284	60321	45000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		4998	10892	457000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		114116	101319	189000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		3287	21765	536000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		0	13213	1255000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29877	68741	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		2017	29591	37000
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		341	642	53000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		166	10345	90000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		99379	217691	974000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		353	469	12000
