20 minutes ago
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		29281	6137	1394000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		676	635	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		2032	3167	529000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		11490	4708	515000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		136	1241	424000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		4758	141176	147000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		7641	39292	460000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		53265	220475	258000
Col 359 Sector QX-R c5-13	Pranav Antal				1957	
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		11045	60351	80000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		31833	61151	1305000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		135	426	428000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		100649	47493	1700000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		50763	23815	800000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		103	14272	366000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		131	0	76000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1132	21028	34000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		45	5175	489000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		6350	15332	164000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	457	10000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		156250	27479	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		1117	5697	522000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1	659	76000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		565	0	22000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		113	10378	504000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		77993	184449	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3912	10641	540000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		4728	51908	388000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		9617	68744	78000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		24367	103625	234000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		182	1659	36000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		1496	2197	104000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		10176	11023	209000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		146	1765	76000
Col 359 Sector DP-L b10-3	Aisling Duval	Pranav Antal		936	12448	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		150	5157	1166000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		2591	4814	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1050	1941	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		11470	99898	162000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		106	5231	471000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		14180	34345	226000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		6987	5668	558000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		3250	1134	1271000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	17355	0
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		0	0	65000
Col 359 Sector NR-T c4-13	Aisling Duval	Yuri Grom		1746	18612	
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		1719	2993	108000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		2068	3991	1093000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		0	72	22000
